,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
5266,10.2886,-20.079,-21.1015,-21.5426,-21.7054,-21.7944,0.4159,7.8574,0.5618,12.3375,-0.2815,6.688,0.104,4.141,-9.7268
5267,9.0634,-16.1612,-17.2541,-17.7271,-17.9987,-18.1496,0.4596,7.6975,-1.1481,11.4636,0.4565,1.923,0.027,1.151,-10.2115
5268,10.1257,-19.7981,-20.7627,-21.1637,-21.3058,-21.4465,0.3472,8.0117,0.4839,12.1647,0.0193,4.573,0.191,2.753,-9.6418
5269,8.5129,-15.9542,-16.9025,-17.25,-17.4471,-17.4171,0.3606,7.2612,-1.1639,11.3168,-0.0498,1.696,0.113,1.057,-9.6768
5270,9.341,-17.376,-18.3787,-18.8292,-19.0041,-18.8937,0.441,7.8705,-0.8235,11.605,-0.0571,2.169,0.127,1.316,-10.1645
5273,10.357,-19.0125,-20.2761,-20.7416,-20.8749,-21.1725,0.4031,7.6301,0.5118,12.1282,-0.7404,9.586,0.197,6.616,-9.8452
5274,9.45,-18.5824,-19.4611,-19.8595,-20.0226,-20.2121,0.3551,6.8815,0.2271,12.2048,0.0147,7.717,0.521,4.872,-9.2229
5275,9.7756,-17.5497,-18.6679,-19.1941,-19.4336,-19.6176,0.4867,8.2752,-0.5044,11.7158,-0.5424,2.289,0.042,1.404,-10.28
5276,8.619,-16.6094,-17.0938,-17.5307,-17.5425,-16.7264,0.4764,6.4794,-1.1833,11.3502,-0.0035,4.762,0.009,2.853,-9.8023
5277,8.6284,-16.3021,-17.2809,-17.6481,-17.7897,-17.7792,0.3932,7.762,-0.9634,11.3998,-0.145,1.016,0.797,0.839,-9.5918
5278,9.9858,-19.27,-20.3591,-20.7183,-20.8374,-20.6821,0.3532,7.3476,-0.0344,11.9461,0.47,8.402,0.203,5.345,-10.0202
5279,8.8302,-16.5584,-17.3503,-17.636,-17.5854,-17.5513,0.3428,6.7667,-1.08,11.4264,-0.0119,4.277,0.169,2.651,-9.9102
5280,9.8563,-17.4177,-18.4505,-18.8995,-19.0691,-19.2056,0.4125,8.0015,-0.6082,11.684,-0.4324,3.338,0.446,2.778,-10.4645
5281,9.7171,-17.5411,-19.3193,-19.6676,-19.7213,-19.3094,0.4448,7.343,-1.0092,12.7736,0.4249,6.203,0.044,3.793,-10.7263
5282,9.6636,-18.2291,-19.342,-19.7269,-19.8487,-20.0679,0.3573,7.2124,-0.2207,11.8068,-0.0093,6.749,0.103,4.131,-9.8843
5283,10.3365,-20.4272,-21.4443,-21.8625,-22.0484,-22.1356,0.4155,8.6552,0.7174,12.4292,0.0808,2.782,0.101,1.693,-9.6191
5284,8.3628,-16.0831,-17.0383,-17.3355,-17.4827,-17.5704,0.3356,7.2238,-1.0052,11.3199,0.0927,1.481,0.0,0.882,-9.3681
5285,10.3615,-19.2663,-20.3927,-20.8646,-21.0515,-21.1211,0.4438,8.0267,0.1924,13.6176,0.9677,5.887,0.081,3.609,-10.1691
5286,9.7002,-19.0948,-20.0052,-20.3303,-20.477,-20.5284,0.3173,7.3598,0.1428,11.8314,-1.1592,5.933,0.317,3.782,-9.5574
5287,9.9963,-18.2676,-19.3782,-19.8452,-20.0672,-20.1999,0.4408,8.0783,-0.348,11.8677,0.1198,3.643,0.073,2.27,-10.3443
5288,9.9638,-18.0605,-19.3917,-19.7889,-19.9299,-19.8403,0.4156,7.8925,-0.5309,11.805,-0.1107,4.346,0.04,2.637,-10.4947
5289,9.2413,-17.2727,-18.368,-18.7419,-18.7315,-18.6976,0.3482,6.7346,-0.601,11.5378,-0.9165,7.16,0.221,4.247,-9.8422
5290,10.4596,-18.2878,-19.6168,-20.3893,-20.793,-21.0549,0.6061,8.4212,0.6181,12.9143,0.0945,4.175,0.122,2.525,-9.8415
5291,8.8779,-16.8296,-17.6713,-18.0638,-18.2332,-18.2496,0.4018,7.4805,-0.9825,11.4488,0.5311,1.994,0.0,1.188,-9.8604
5292,9.7254,-18.3797,-19.4052,-19.8541,-20.0683,-20.2698,0.4456,8.0205,-0.1743,11.8265,-0.2464,2.836,0.0,1.69,-9.8997
5293,10.8385,-19.2662,-20.6526,-21.4145,-21.7752,-22.0861,0.6683,8.704,-0.0453,12.6709,0.6943,4.929,0.45,3.797,-10.8838
5294,9.296,-17.6508,-18.5803,-18.9659,-19.1307,-19.3046,0.4096,7.6535,-0.4843,11.6221,-0.4425,2.669,0.024,1.612,-9.7803
5295,10.1763,-18.7822,-19.8867,-20.3538,-20.5499,-20.6977,0.4419,7.9231,0.0007,11.9277,-0.6662,5.385,0.134,3.26,-10.1756
5296,9.2833,-17.5779,-18.4131,-18.7866,-18.8532,-18.85,0.3898,7.0376,-0.5496,11.5532,0.1833,5.28,0.096,3.23,-9.8329
5297,8.5963,-16.5704,-17.6472,-17.9121,-17.8999,-17.7669,0.2828,6.9022,-0.7356,11.3582,0.0295,2.813,0.003,1.679,-9.3319
5298,9.3606,-17.8941,-18.7717,-19.0473,-19.0636,-19.1624,0.2499,7.008,-0.6033,11.5626,-0.1445,5.958,0.198,3.758,-9.9639
5299,10.2872,-18.2276,-19.6279,-20.2021,-20.496,-20.7051,0.4999,7.7948,-0.0827,12.0752,-0.1062,7.264,0.231,4.751,-10.3699
5300,10.4466,-18.7281,-20.1528,-20.7333,-20.9697,-21.1128,0.5477,8.1052,-0.3082,12.2203,0.6089,5.961,0.0,3.552,-10.7548
5301,9.394,-17.4803,-18.6529,-19.041,-18.9294,-18.483,0.3953,7.0958,-0.428,11.6268,0.6399,5.653,0.063,3.471,-9.822
5302,10.7533,-19.8595,-21.0342,-21.5847,-21.853,-22.0438,0.5146,8.7573,0.5442,12.5323,-0.4945,3.973,1.0,2.18,-10.2091
5304,10.0822,-17.7168,-18.7876,-19.2631,-19.4849,-19.641,0.4754,7.3832,0.2436,11.9974,0.0096,8.97,0.332,5.944,-9.8386
5305,9.989,-18.7206,-19.9357,-20.3008,-20.4178,-20.2935,0.3651,7.7162,-0.2368,11.8796,-0.2714,5.482,0.176,3.372,-10.2258
5307,9.2075,-17.6747,-18.519,-18.8611,-18.9461,-19.406,0.3135,6.945,-0.437,11.5233,0.3405,5.491,0.201,3.565,-9.6445
5308,9.306,-17.7936,-18.8993,-19.2376,-19.2968,-19.1285,0.3296,7.5562,-0.371,11.6292,0.2503,3.005,0.135,1.856,-9.677
5309,10.0644,-17.9121,-19.1845,-19.7481,-20.0081,-20.1732,0.5569,8.8447,-0.4668,11.8817,-0.3692,1.606,0.778,1.919,-10.5312
5310,9.3621,-17.7071,-18.7256,-19.0506,-19.1514,-18.6893,0.3244,7.3076,-0.7394,13.5052,0.3814,4.328,0.124,2.75,-10.1015
5311,10.5711,-19.2851,-20.4512,-21.0403,-21.3049,-21.5081,0.5226,8.1259,0.1639,12.2622,-0.0514,6.752,0.031,4.07,-10.4072
5313,9.8669,-18.0184,-19.3628,-19.7302,-19.8621,-19.9354,0.3477,7.6251,-0.2542,12.2234,-0.1227,5.453,0.228,3.71,-10.1211
5314,9.9777,-18.6445,-19.8706,-20.4396,-20.7247,-21.1219,0.4482,7.5933,0.451,12.0254,0.7805,6.257,0.0,3.729,-9.5267
5315,10.2946,-19.2849,-20.3866,-20.8508,-21.0551,-21.0753,0.4457,7.8981,0.1669,13.0985,-0.2943,6.327,0.089,3.879,-10.1277
5316,9.0971,-17.1259,-17.7512,-18.1094,-18.2042,-18.5998,0.3534,7.222,-0.6413,11.4266,0.0969,3.456,0.24,2.202,-9.7384
5317,10.5362,-18.1466,-19.691,-20.3972,-20.7595,-20.9816,0.6129,8.8182,0.3804,13.1163,2.1402,3.101,0.402,2.302,-10.1558
5318,9.4256,-17.8802,-18.7688,-19.2148,-19.2306,-19.3823,0.4218,7.6141,-0.5437,11.6644,0.2227,3.226,0.12,1.933,-9.9693
5319,9.1469,-17.955,-18.8101,-19.1404,-19.2551,-19.2991,0.337,7.6649,-0.118,11.6246,-0.1273,2.27,0.474,1.779,-9.2649
5320,10.6924,-19.538,-20.8245,-21.3921,-21.5811,-21.7074,0.5101,7.8507,0.0724,12.5477,0.1425,10.59,0.074,6.426,-10.62
5321,9.4249,-17.9507,-19.0137,-19.3601,-19.4617,-19.4268,0.3685,7.6132,-0.2036,11.617,-0.7012,3.256,0.3,2.168,-9.6285
