X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
10.7074,-19.9705,-21.2634,-21.816,-22.1077,-22.3097,0.4893,8.1545,0.6192,12.9548,-0.4291,7.738,0.268,5.073,-10.0882
9.6511,-18.5178,-19.5919,-19.9438,-20.0327,-19.9244,0.3473,7.4952,-0.1111,11.7704,0.1918,4.788,0.112,2.951,-9.7622
10.437,-18.1457,-19.7428,-20.4788,-20.8004,-21.0835,0.6981,9.0042,-1.2733,12.5747,0.5784,2.138,0.364,1.839,-11.7103
9.0253,-17.7681,-18.5661,-18.9155,-19.069,-19.244,0.3753,7.3088,-0.3817,11.5834,-1.3249,2.882,0.0,1.717,-9.407
10.4068,-18.3732,-19.5715,-20.1924,-20.5415,-20.7338,0.548,8.398,-0.4259,12.0416,-0.5918,4.476,0.5,4.637,-10.8327
9.7323,-17.9357,-19.138,-19.7339,-19.9255,-20.0212,0.5844,7.0737,-0.2945,11.8868,-0.9811,9.022,0.18,6.12,-10.0268
9.8575,-19.0109,-19.894,-20.2327,-20.3029,-20.417,0.3424,7.75,-0.033,12.276,-0.2598,4.564,0.256,2.952,-9.8905
8.9164,-16.99,-17.8877,-18.2216,-18.2449,-18.4528,0.3525,7.2739,-0.8094,11.4654,-0.3874,2.648,0.0,1.578,-9.7258
10.7013,-19.4982,-20.7492,-21.4052,-21.7432,-21.9794,0.5289,7.8734,0.2306,12.499,-1.0484,10.785,0.438,8.724,-10.4707
10.2554,-17.3834,-18.9788,-19.7448,-20.1538,-20.3865,0.6608,8.9383,-0.2221,11.9938,-0.4022,1.831,0.164,1.096,-10.4775
10.453,-18.1385,-19.6026,-20.306,-20.6722,-20.9572,0.6001,8.0757,0.1016,12.0801,0.5819,6.278,0.202,4.114,-10.3514
8.7133,-16.1049,-17.3019,-17.6024,-17.7186,-17.6318,0.3537,6.8781,-1.2508,11.3461,-0.263,3.32,0.066,2.021,-9.9641
9.3965,-18.0198,-18.637,-18.8823,-18.8307,-18.6609,0.2156,7.0014,-0.2917,11.5407,-0.0471,6.5,0.293,4.777,-9.6882
9.7739,-18.3352,-19.5184,-19.9572,-20.1274,-20.0614,0.4493,7.5923,-0.2588,11.8239,-0.0354,4.919,0.006,2.94,-10.0327
9.8193,-18.3515,-19.5364,-19.8827,-20.0538,-20.1388,0.3732,7.4531,-0.179,11.7739,0.2996,6.117,0.059,3.736,-9.9983
9.7839,-18.4407,-19.5895,-19.9653,-19.9121,-19.8069,0.3583,7.624,-0.2986,11.7947,-0.7588,4.859,0.197,3.16,-10.0825
8.3602,-15.4159,-16.3841,-16.762,-16.8829,-17.3296,0.4074,6.9477,-1.4245,11.2765,-0.1242,1.988,0.119,1.246,-9.7847
9.8841,-19.2505,-20.2517,-20.6827,-20.8639,-21.0329,0.4122,7.7774,0.4022,12.0109,0.3806,4.572,0.371,3.199,-9.4819
9.984,-18.0299,-19.1526,-19.6661,-19.8694,-20.0581,0.479,8.5208,-0.3932,11.8209,0.0858,2.148,0.725,1.252,-10.3772
10.5513,-18.7735,-20.3014,-20.9535,-21.2852,-21.4814,0.6199,8.4607,-0.4378,12.5911,-0.1815,4.579,0.456,3.774,-10.9891
9.2198,-17.3868,-18.6769,-18.8505,-18.8793,-19.0574,0.2017,6.9682,-0.6315,11.5335,-0.4012,5.34,0.266,3.157,-9.8513
10.3717,-18.6018,-19.8282,-20.3747,-20.6422,-20.8114,0.5478,9.1398,0.0461,12.1292,-0.3234,1.568,0.694,1.942,-10.3256
9.2979,-17.6177,-18.7917,-19.1068,-19.1318,-19.4242,0.3025,6.9222,-0.226,12.7852,0.4867,6.117,0.256,4.045,-9.5239
9.5189,-17.8365,-18.8576,-19.34,-19.5705,-19.6852,0.4438,7.379,-0.2578,11.718,-1.0538,4.731,0.031,2.876,-9.7767
10.1722,-18.6978,-19.8565,-20.3306,-20.4458,-20.5982,0.4549,8.5138,0.0087,11.9793,-0.3217,2.733,0.324,1.789,-10.1635
10.1508,-18.5948,-19.8842,-20.4625,-20.7511,-20.9633,0.5389,8.1201,0.0684,13.1396,0.7368,4.378,0.389,3.514,-10.0824
8.4512,-15.8875,-16.9505,-17.2254,-17.2068,-16.8785,0.3204,6.8463,-1.2086,11.5502,0.8677,2.553,0.004,1.523,-9.6598
8.5683,-16.1448,-16.9599,-17.1908,-17.1793,-17.2064,0.2467,7.1007,-0.9011,13.2896,0.2472,2.243,0.302,1.539,-9.4694
10.9156,-20.2097,-21.7945,-22.3372,-22.4563,-22.5215,0.4867,8.0847,-0.1822,12.99,0.0376,10.693,0.27,7.733,-11.0978
10.4827,-19.2057,-20.5876,-21.164,-21.4168,-21.6054,0.5686,8.5668,0.3693,13.201,-0.2811,3.609,0.331,2.896,-10.1134
9.2268,-17.6356,-18.4604,-18.7774,-18.8767,-18.7648,0.3153,7.0442,-0.5603,11.5675,-0.4454,4.942,0.02,2.973,-9.7871
9.818,-16.7784,-18.2248,-18.8536,-19.1927,-19.1877,0.573,7.831,-0.4949,11.7111,0.1115,4.018,0.131,2.578,-10.3129
9.5356,-18.1259,-19.2402,-19.6589,-19.755,-19.5915,0.4105,7.78,-0.3179,11.7521,0.5834,3.02,0.026,1.823,-9.8535
9.7874,-19.0251,-20.0115,-20.2607,-20.2399,-20.1366,0.2528,7.3103,0.1211,11.7879,0.0665,6.979,0.06,4.334,-9.6663
9.324,-18.3471,-19.057,-19.3381,-19.3932,-19.5223,0.2319,7.4529,-0.1475,11.8358,-0.0109,3.47,0.284,2.565,-9.4715
10.4112,-18.4424,-19.6929,-20.3517,-20.6727,-20.9102,0.5721,8.3866,0.0092,12.0967,0.0387,4.262,0.116,2.762,-10.402
9.874,-18.2412,-19.4908,-19.9045,-20.0458,-19.8982,0.3824,7.4549,-0.2817,13.9168,0.2671,6.524,0.263,4.148,-10.1557
9.4849,-18.4482,-19.4456,-19.7841,-19.8449,-19.8286,0.3283,7.5875,-0.1569,11.7325,-0.3214,3.543,0.0,2.112,-9.6418
9.964,-17.9786,-19.183,-19.7401,-20.0014,-20.1764,0.5295,8.5311,-0.086,11.8811,0.1143,2.061,0.47,1.545,-10.05
10.2185,-20.003,-21.0476,-21.4451,-21.6026,-21.6993,0.3992,8.179,0.588,12.715,0.0434,4.214,0.045,2.525,-9.6305
10.5597,-18.7387,-20.1645,-20.8444,-21.1443,-21.3707,0.6387,9.1001,-0.5844,14.1249,0.9897,2.346,0.552,2.829,-11.1441
7.9099,-14.637,-15.4225,-15.6358,-15.4563,-15.9295,0.2495,6.5485,-1.7387,11.0693,0.1546,1.921,0.016,1.16,-9.6486
